Une journee à la ferme;1301;"Le Camion de CPS prend la direction de Rennes, destination le domaine de la Bintinais. F & J vont passer une journee dans cette ferme traditionnelle, lieu destine à conserver et à proteger des especes animales et vegetales en voie de disparition. Saviez-vous qu'en France, il y a une cinquantaine de races de poules et sans doute autant de familles differentes de moutons, de cochons et de bovins ? Beaucoup de ces especes animales "" fabriquees "" par la nature et souvent par l'homme au fil des siecles sont en voie de disparition, en raison des methodes d'elevage industriel  -  le même probleme se pose pour les fruits, les legumes et les cereales. Cette ballade au cœur d'une ferme traditionnelle va nous faire redecouvrir ces vegetaux et ces animaux domestiques oublies, que les scientifiques s'efforcent aujourd'hui de proteger pour preserver ces richesses naturelles. ";La terre et l'univers;Botanique et agronomie;1995
La forêt enchantee, ça vous branche ?;1302;En compagnie des gardes forestiers de l'Office National des Forêts, le camion de CPS penetre dans la forêt de Fontainebleau pour y decouvrir une grande variete d'especes animales et vegetales et tout comprendre sur l'ecosysteme forestier. Comment des milliers d'especes vivantes, vegetales et animales vivent-elles les unes par rapport aux autres ? L'arbre est aussi un être vivant, qui naît, respire, se nourrit, boit, transpire, vieillit et meurt. Graine, fleur, fruit, seve, feuille, ecorce, resine qui fait quoi dans la vie d'un arbre ? F & J nous proposent une promenade dans la forêt enchantee où nous attendent des personnages insolites, sortis des contes les plus celebres. ;La terre et l'univers;Botanique et agronomie;1995
Alerte avalanche !;1401;Nous retrouvons la vallee de Chamonix et les animateurs de CPS qui rejoignent cette fois les guides, les pisteurs et le peloton de Gendarmerie de Haute Montagne de Chamonix, pour participer à de spectaculaires operations de lutte contre les avalanches. Nous decouvrons les differents types d'avalanche - les avalanches de neige fraîche, de plaque, de fonte... - la neige et ses metamorphoses et les techniques de declenchement des avalanches. ;La terre et l'univers;Nature;1995
La pêche en mer... du filet à la criee;1501;En une cinquantaine d'annees, nous sommes passes de 15 millions de tonnes de poissons pêches chaque annee, à 90 millions... Victimes de cette surexploitation, les poissons du littoral se font de plus en plus rares. 10% des stocks mondiaux seraient epuises. 18% surexploites. Les scientifiques estiment qu'il faudrait quatre ans d'un arrêt total de la pêche en mer pour que les poissons qui vivent au large des côtes europeennes se regenerent. Victimes à leur tour de cette baisse de rendements - et des quotas de pêche qui leurs sont desormais imposes - les pêcheurs français ont du mal à survivre. CPS a suivi pour nous une pêche artisanale au large des côtes bretonnes. F & J nous expliquent comment on tente aujourd'hui d'equilibrer les activites de pêche et le renouvellement des populations de poissons.;La terre et l'univers;Faune;1995
Les rapaces;1502;Le Rocher des Aigles à Rocamadour abrite plus de trois cent cinquante rapaces dont cinquante especes differentes. Du condor des Andes au hibou petit-duc nous allons decouvrir quelques-uns des plus beaux rapaces diurnes et nocturnes. Avec les biologistes et les fauconniers du Rocher des Aigles, nous allons apprendre à mieux connaître ces oiseaux de proie qui font rêver ou qui font peur. Le faucon pelerin fait des pointes à 250 Km/h ! Certains grands aigles planent à plus de huit mille metres d'altitude ! Comment volent-ils ? Comment se nourrissent-ils ? Comment se reproduisent-ils ? Comment sauver les especes menacees de disparition ? ;La terre et l'univers;Faune;1995
Le diabete : sucres sous surveillance;2003;En France, environ 2 millions de personne seraient atteintes du diabete. Et pres de 500 000 autres personnes ignorent qu’elles ont cette maladie !Le diabete est une maladie caracterisee par un exces de sucre dans le sang. En fait, il n’y a pas un mais des diabetes : le diabete de type I, qui touche notamment les enfants, et le diabete de type II, que l’on appelle aussi « diabete gras », qui concerne en particulier les personnes souffrant d’un exces de poids. Alors que le diabete de type I augmente regulierement de 3% par an, le diabete de type II devient une veritable epidemie mondiale : on estime à environ 200 millions le nombre d’adultes atteints dans le monde en 2005. C’est la cause premiere de l’obesite qui serait principalement dû à la mauvaise alimentation et à la sedentarite. En France, l’epidemie est devenue un probleme de sante publique…;Sport et sante;Medecine et biologie;1995
Les bebes : l'histoire d'une naissance;2004;"Le camion de CPS franchit ""delicatement"" les portes d'une maternite. En penetrant dans ce service, nous allons suivre le long chemin que parcourent pendant neuf mois une maman et son bebe : depuis la premiere photo du bebe (l'echographie) jusqu'à l'accouchement, en passant par les divers examens qui permettent de suivre au jour le jour la croissance du bebe dans le ventre de sa maman. Jamy et Fred se posent des questions fondamentales et passionnantes : comment se ""fabrique"" un bebe (la rencontre d'un spermatozoïde et d'un ovule), comment vit le bebe dans le ventre de sa mere, qu'appelle-t-on ""vrais"" et ""faux"" jumeaux... ? ";Sport et sante;Medecine et biologie;1995
Le sida;2005;F & J nous emmenent à l'Institut Pasteur à Paris pour faire le point sur le VIH, responsable de la maladie du Sida. Fred nous fait circuler dans les laboratoires de l'Institut où Pasteur a mis au point le premier vaccin, celui contre la rage, il y a plus d'un siecle maintenant. L'œil colle au microscope, nous decouvrons les differents virus en action et nous verrons comment l'organisme s'en defend. Enfin, nous observerons le VIH et ses mecanismes. Face à ce fleau une solution : la prevention. F & J se rendent dans un lycee de la region parisienne pour savoir comment il faut s'en proteger et pour connaître les reactions des jeunes à ce sujet. ;Sport et sante;Medecine et biologie;1995
Le sucre, la culture de la betterave;2102;"Sans marrons glaces, chocolat et autres sucreries, Noël ne serait pas Noël ! Que les gourmands se rejouissent, l'equipe de CPS precede le Pere Noël et remonte la filiere du sucre. F & J ont decide de preparer une bûche de Noël, des marrons glaces et même de la barbe à papa ! Mais il leur manque un ingredient de base : le sucre. Les voilà donc partis à sa recherche dans une Sucrerie-Distillerie du Loiret, puis dans les casseroles d'un Artisan confiseur de Paris. Heureusement pour Fred, le sucre ne se trouve pas uniquement dans la canne à sucre, mais egalement dans la betterave sucriere. La France est d'ailleurs le premier producteur mondial. En direct d'une Sucrerie-Distillerie, il nous expliquera comment on recolte cette plante, quelles sont ses proprietes et enfin par quels processus industriels on en extrait du sucre ainsi que des coproduits tels que la pulpe, la melasse pour le betail et l'ecume. Nous verrons aussi que le sucre a une histoire riche et passionnante, et que la premiere plante à produire du sucre fut la canne à sucre ou ""roseau sucre"" comme on l'appelait autrefois. Fred nous emmenera egalement chez un Artisan confiseur pour assister à la fabrication de pâtes de fruits et de bonbons. Il en profite pour s'empiffrer, en oubliant que le sucre peut lui causer des caries ou même le faire grossir ! ";Sport et sante;Alimentation et nutrition;1995
Faire du sport, c'est physique et chimique;2301;"Le camion de CPS franchit les portes de l'INSEP (Institut national du sport et d'education physique) où s'entraînent plus de mille athletes dans une vingtaine de disciplines. Fred teste ses capacites aupres d'athletes de haut niveau. Sur le tatami, face à Laetitia Tignola, championne de France de Judo, il mesure l'efficacite de ses muscles. Avec les halterophiles, il met ensuite la puissance de ses muscles à l'epreuve avant de grimper sur un ring de boxe où il teste leur rapidite. Notre ""champion"" s'aventure jusque dans les cuisines de l'Insep pour analyser la nourriture des sportifs. ";Sport et sante;Sport;1995
Un bol d'air dans le grand bleu;2302;C'est en Martinique que CPS nous entraîne pour decouvrir la plongee sous-marine. Dans les profondeurs de la mer des Caraïbes, Fred descend en apnee à la decouverte des coraux puis, avec des bouteilles d'air comprime, il nous entraîne plus loin pour explorer des epaves. ;Sport et sante;Sport;1995
Les Sorciers font du ski;2303;A l'approche des vacances d'hiver le camion de CPS s'arrête dans la vallee de Chamonix. Il nous emmene dans une ballade insolite dans les coulisses d'une station de sports d'hiver, qui nous fera voyager notamment sur le telepherique de l'Aiguille du Midi et les differents types de remontees mecaniques... de jour comme de nuit. Comment marchent un telepherique, un telesiege, un teleski ? Comment fabrique-t-on de la neige ? Comment fabrique-t-on une piste de ski ? Et comment mesure-t-on une pente ? ;Sport et sante;Sport;1995
Faire un disque... ça vous chante ?;3102;"Le camion de CPS prend la route des studios et suit une jeune chanteuse qui enregistre son premier album. Depuis l'enregistrement de la voix et des instruments sur une bande magnetique jusqu'au mixage, on egraine toutes les phases de preparation du disque. Pour que celui-ci existe, il faut ensuite le presser sur un support vinyle (ça existe encore !) ou sur un support ""laser"". Cette derniere etape se deroule dans de vastes usines à l'abri des poussieres qui plus tard pourraient gêner la lecture du disque. On suivra ainsi toute la fabrication du disque, depuis la matiere premiere jusqu'au pressage : sillons pour le vinyle, bosses et trous pour le disque compact. ";Histoire culture et societe;Art et spectacle;1995
Que fait la police dans ses laboratoires ?;3301;Quai des Orfevres, à Paris : les laboratoires de la police scientifique. Le camion de CPS a ete cambriole. F & J jouent les enquêteurs : ils recherchent le coupable en relevant les indices sur les lieux du cambriolage et en les analysant grâce aux outils les plus perfectionnes dont dispose aujourd'hui la police scientifique. ;Histoire culture et societe;Economie et societe;1995
Qui tient les cordons de la bourse ?;3302;Le camion de CPS s'installe devant la Bourse de Paris. Pendant 26 minutes nous circulons dans les couloirs du Palais Brongniart où l'on decouvre le monde financier et ses regles. Nous suivons le parcours d'une action et d'une obligation : qui les achete et qui les vend ? Comment sont fixes leurs prix ? Nous penetrons ensuite sur le Matif, l'un des derniers marches où les echanges s'effectuent à la criee. ;Histoire culture et societe;Economie et societe;1995
Coup de projecteur sur la lumiere;4002;On baigne dedans en permanence, on l'utilise tous les jours mais sait-on vraiment ce qu'est la lumiere ? Elle voyage à 300 000 kilometres par seconde et a des comportements etranges. Tantôt elle se propage comme une onde, tantôt comme un faisceau de particules. Nous allons percer les mysteres de la lumiere. L'equipe de CPS se faufile dans les coulisses du spectacle de Jean-Michel Jarre à la Tour Eiffel au milieu des 500 techniciens qui preparent le grand show. Ils installent toute une batterie de projecteurs, des ecrans geants, des lasers. Au total, l'eclairage du spectacle va consommer 15 millions de watts, de quoi eclairer un immeuble de 3000 etages. Avec des ingenieurs de la lumiere, nous allons jouer avec les rayons lumineux et les couleurs. Nous allons aussi comprendre comment marche un projecteur, un laser et comment on eclaire un grand spectacle. ;Technologie, physique chimie;Physique et chimie;1995
Remettons nos pendules à l'heure;4003;Une semaine avant le passage de l'heure d'hiver à l'heure d'ete, le camion de CPS nous emmene à la decouverte des machines à mesurer le temps les plus spectaculaires. Horloges d'hier et d'aujourd'hui, clepsydres, cadrans solaires... Comment reussir à mesurer le temps ? Pour y parvenir, nos ancêtres observaient le mouvement des astres. Aujourd'hui, on utilise des horloges atomiques tellement precises que les astres prennent du retard ou de l'avance sur nos montres. ;Technologie, physique chimie;Physique et chimie;1995
Nos vêtements... de fil en aiguille;4102;CPS devoile les secrets de fabrication de nos vêtements. Le camion-laboratoire fait etape à Roubaix dans les ateliers de filature de la laine, puis à Lyon où l'on manie la soie et à l'Institut du Textile français où toutes sortes de textiles naturels ou synthetiques subissent tous les tests possibles et imaginables. Au fil de cette emission nous remontons la filiere du vêtement, du producteur au consommateur, du mouton au gilet de laine, du ver au foulard de soie, des hydrocarbures au nylon... ;Technologie, physique chimie;Technologie et industrie;1995
Les centrales nucleaire;4202;"Le camion se rend à la centrale de Cattenom en Moselle. Nous profitons d'un arrêt de ""tranche""- periode au cours de laquelle la centrale ne produit pas d'energie et où l'on procede à des travaux d'entretiens- pour visiter une centrale nucleaire. Exceptionnellement Fred a pu penetrer dans le cœur de la centrale : le bâtiment reacteur ! Quand la centrale fonctionne, c'est ici qu'a lieu la fameuse ""reaction nucleaire"" qui produit de l'energie sous forme de chaleur. Nous en decouvrons le combustible - l'uranium, et la maniere dont il est renouvele. Nous suivons ensuite toutes les etapes qui conduisent à la production d'electricite ( production de vapeur, entraînement d'une turbine etc.) ";Technologie, physique chimie;energie;1995
Les dechets nucleaires;4203;Le camion de CPS s'arrête à la centrale nucleaire de Cattenom en Moselle pour savoir ce que l'on fait de tous les dechets radioactifs. Il part ensuite à la Hague : CPS a eu l'autorisation exceptionnelle de tourner à l'interieur de l'usine de retraitement des combustibles uses. Nous irons enfin à Cadarache, pres d'Aix en Provence où sont traites et entreposes tous les dechets nucleaires produits par le Commissariat à l'energie Atomique. En l'an 2000, le volume des dechets nucleaires produits en France sera d'environ 900 000 m3. Mais il y a d'autres sortes de dechets : des simples gants ou chiffons contamines jusqu'aux produits de fission qui sont dans le combustible use. Nous verrons comment ils sont tries en fonction de leur radioactivite et de leur duree de vie. A la Hague, nous entrerons dans le hall où sont entreposes les dechets à vie tres longue (plusieurs milliers d'annees) et hautement radioactifs, en attendant qu'on trouve un site pour les stocker en profondeur. A Cadarache, l'equipe de CPS a filme pour la premiere fois des piles de fûts contenant des dechets à vie longue faiblement radioactifs qui sont entreposes dehors sous le hangar depuis 30 ans, en attendant une solution definitive ;Technologie, physique chimie;energie;1995
Tous au charbon;4204;Fred nous entraîne à 900 metres sous terre pour une promenade à travers les 70 km de galeries qui menent aux veines d'extraction du charbon. Il est dans la mine de La Houve, au cœur du bassin houiller lorrain. Qu'est-ce que le charbon ? D'où vient-il ? Comment s'organise le travail dans la mine ? Comment en assure-t-on l'aeration et la securite ? Comment se fait le transport des hommes et du precieux charbon ? Qu'est-ce qu'un coup de grisou ? Et quelles sont les differentes methodes d'extraction ? ;Technologie, physique chimie;energie;1995
Au bout du fil... le telephone;4302;"Le camion de CPS s'arrête en plein milieu du carrefour... des communications telephoniques dans un ""central"" qui gere des millions d'appels par jour. Fred nous fait visiter l'immense toile d'araignee que represente le reseau telephonique international : depuis les centraux les plus proches jusqu'aux câbles de transmission poses à des milliers de metres sous l'ocean. Comment transformer un son en impulsion electrique ? Comment nos appels sont-ils aiguilles ? Qu'est-ce que le ""langage"" analogique et le ""langage"" numerique ? C'est quoi une fibre optique ? Comment fonctionnent les ondes radioelectriques ? ";Technologie, physique chimie;Communication;1995
L'imprimerie noir sur blanc... et en couleur;4303;A l'Imprimerie Nationale, nous decouvrons les machines qui ont marque l'histoire de l'imprimerie depuis Gutenberg. Il y a encore un siecle, il fallait fondre chaque lettre une à une, avant d'imprimer un texte sur une page. Aujourd'hui, les rotatives les plus performantes sont capables d'imprimer 1000 pages par seconde. De la typographie à l'heliographie en passant par l'offset, nous allons explorer en les utilisant toutes les techniques d'imprimerie. ;Technologie, physique chimie;Communication;1995
Tu veux ma photo ?;4304;"F & J ont decide de photographier la petite voix qui commente le magazine. Pour cela ils vont se procurer du materiel photo et chercher conseil aupres de photographes professionnels. Voilà donc Fred ""en planque"", barde d'appareils tel un paparazzi ! En attendant que la petite voix veuille bien sortir, un photographe à l'affût lui fait decouvrir un autre moyen de fixer une image : le stenope (l'ancêtre de l'appareil photographique). Pendant ce temps la petite voix lui echappe. Cette fois, il a installe tout ses appareils en haut d'un immeuble et nous explique les proprietes des objectifs et des teleobjectifs qui permettent aux paparazzi de photographier de tres  loin quelquefois. Nous verrons comment les photographes d'evenements sportifs travaillent pour obtenir des cliches à la fois nets et spectaculaires. Et nous nous rendrons au fameux Studio Hartcourt où l'on pratique surtout l'art du portrait noir et blanc. Mais la photo c'est aussi un grand travail de laboratoire. Fred nous montrera comment sont developpees les pellicules couleur et comment se fait un tirage papier. Enfin, il nous fera une demonstration de technologie avec un appareil photo numerique dont le cliche est immediatement transmis par modem à son agence de presse. ";Technologie, physique chimie;Communication;1995
A fond de train;4403;"Mais comment les trains font-ils pour aller aussi vite ? Le camion de CPS entre en gare et laisse Fred aux commandes des locomotives les plus spectaculaires afin de comprendre comment, en un siecle et demi, on est passe du ""tortillard"" aux ""Trains Grande Vitesse"". Comment fonctionnent une locomotive à vapeur et une locomotive electrique? -Comment le train tient-il sur ses rails ? Comment le train arrive-t-il à s'arrêter ? Dans le camion, Jamy repond à toutes ces questions grâce à ses savantes experiences. ";Technologie, physique chimie;Transport;1995
Du vent dans les voiles (le Belem);4404;L'equipe de CPS prend la direction de la Normandie pour embarquer à bord du trois-mâts le Belem. Construit en 1896, le Belem est le dernier survivant de la grande flotte des voiliers de commerce français. Aujourd'hui, c'est un navire-ecole. Le voyage ne sera pas de tout repos. Il faudra grimper en haut des mâts, à 34 m au dessus des flots pour etablir les 1200 metres carres de voilure, sans faire de nœuds dans les filins. Hissez ! Amenez ! Enverguez ! Carguez ! Brassez ! etarquez ! Sous les ordres du commandant, nous allons manœuvrer les 21 voiles à la force des bras comme les matelots gabiers d'autrefois..... Et Fred tient bon la barre ! Hissez haut !!! ;Technologie, physique chimie;Transport;1995
